1 652.743
2 1305.49
3 1958.23
4 2610.97
5 3211.39
6 3853.66
7 4495.94
8 5138.22
9 5327.36
10 5314
11 5845.4
13 6908.2
15 7199.25
17 8159.16
20 9599.01
23 8111.61
26 8973.22
30 9949.9
35 10819.8
40 12365.5
46 12038.5
53 12507.7
61 13121.7
71 13518.5
81 14339.8
94 14777.7
108 15329.4
124 15685.8
143 15500.9
164 16701.9
189 16271
218 16907.5
251 16512.7
288 17660.3
332 17652.6
382 16973.1
439 17418.1
505 17945.6
581 18053
669 17102.9
770 16539.4
885 17661.5
1019 17727.6
1172 17946.6
1348 18202.7
1551 17822.1
1785 17698.5
2053 17793.7
2362 17821.6
2718 18293
3127 18291.7
3597 17866.2
4138 18266
4761 15814.6
5477 15425.2
6301 15685.5
7248 15730.6
8339 15301.1
9593 15882.1
11036 15535
12697 15887.9
14606 15883.3
16804 15635.9
19331 16438.9
22239 16353.7
25585 16462.9
29433 16032.8
33861 16078.9
38954 16445.7
44814 16384.8
51555 15838.2
59310 16254.6
68231 16240.4
78494 15837.9
90302 16070.4
103885 15870.7
119512 15859.6
137489 13261.6
158170 14565.9
181963 14402.9
209333 15777.5
240822 14983.5
277047 15591.5
318721 14627.3
366663 12324.7
421817 12028.3
485268 9063.06
558262 5680.42
642237 4006.75
738842 3232.82
849981 3023.61
977835 2760
1124923 2758.18
1294134 2851.34
1488801 2975.41
1712747 2823.67
1970382 2853.73
2266771 3056.03
2607739 3029.45
3000002 3071.9
