1 0
2 278.37
3 403.07
4 495.786
5 607.397
6 634.396
7 763.12
8 951.697
9 978.108
10 1138.35
10 1130.9
11 1237.53
12 1536.61
12 1511.42
13 1487.41
14 1692.21
15 1699.37
16 2044.35
17 2013.45
18 2276.01
20 2841.09
21 2524.08
22 2744.55
24 3375.55
25 2695
27 3124.25
29 3300.71
31 3491.49
33 3304.32
35 3436.69
37 3767.86
40 4885.02
42 4291.14
45 4898.98
48 5923.61
51 5250.55
55 5419.14
58 5800.84
62 6013.95
66 6760.88
71 6763.2
75 7415.61
80 9027.63
86 7937.15
91 8693.41
97 9482.86
104 10913.1
111 9368.36
118 10164.8
126 10855.9
134 13040
143 13509.7
152 16205
162 15143.1
173 15028.5
184 17771.7
196 16998
209 17206.6
223 16959.3
237 17051.5
253 18288.8
269 19615
287 19728.8
306 20535.7
326 20721.4
347 21702
370 22367.4
394 22758.3
420 23057.4
448 23903.9
477 23546.3
508 24188.4
541 22669.8
577 24695.2
615 22959.9
655 23491.7
698 23981.8
744 23952.9
792 25029.9
844 24973
899 24797.1
958 24394.9
1021 24376.7
1088 25584.5
1159 25376.7
1235 25045.7
1316 25677.5
1402 25930
1494 25555
1591 25791.4
1695 26079.5
1806 26847.8
1925 26851.2
2051 26591.7
2185 27115.5
2328 27492.6
2480 27699.2
2642 27518.6
2815 27256.1
3000 27964.3
