1 0
2 0
3 181.389
4 323.334
5 457.862
6 594.405
7 754.582
8 937.879
9 1043.23
10 1195
10 1195
11 1351.87
12 1608.51
12 1612.54
13 1650.77
14 1826.5
15 1945.13
16 2221.58
17 2335.43
18 2453.85
20 2844.46
21 3012.69
22 3130.11
24 3479.24
25 3681.23
27 3807
29 4369.12
31 4362.4
33 4831.27
35 5032.49
37 5528.54
40 5762.28
42 6208.68
45 6792.46
48 6950.44
51 7148.59
55 7680.65
58 8271.08
62 8763.16
66 9117.17
71 9308.15
75 9576.02
80 10228
86 11102.5
91 10897.4
97 11891.3
104 11584.6
111 11929.3
118 12684.6
126 13074.2
134 13397.1
143 13225
152 13355.9
162 14196.5
173 14763.5
184 14564.4
196 14888.8
209 15757
223 15483.8
237 16331
253 16712.7
269 16804
287 16597
306 16929.3
326 17150.6
347 17316.5
370 17311.9
394 17355
420 17693.3
448 18224.8
477 18533.9
508 18299.5
541 19003.2
577 19099.3
615 18762.6
655 19117.3
698 18972.2
744 19148.6
792 19620.7
844 19637.9
899 18940.6
958 19828.9
1021 19389.7
1088 17998
1159 18234.1
1235 15879.6
1316 14906.7
1402 13131.7
1494 11541.5
1591 10748.2
1695 10400.7
1806 9944.52
1925 9785.08
2051 9642.34
2185 9351.97
2328 9363.72
2480 9290.51
2642 9267.34
2815 9027.78
3000 9292.08
