1 67.2268
2 172.628
3 277.544
4 372.633
5 462.806
6 544.842
7 622.976
8 692.187
9 735.574
10 819.836
10 819.836
11 880.826
12 935.626
13 955.853
14 987.795
15 1038.2
16 1078.4
17 1115.33
18 1071.79
19 1121.08
21 1148.62
22 1144.12
24 1181.62
26 1208.72
28 1241.91
30 1261.23
32 1317.03
34 1427.98
37 1584.26
39 1685.29
42 1821.85
45 1912.67
48 2039.04
52 2096.17
56 2129.69
60 2140.31
64 2252.17
69 2447.6
74 2625.69
79 2755.1
85 2817.58
91 2848.59
97 2940.12
104 3151.08
112 3320.07
120 3409.24
128 3454.21
137 3703.75
147 3894.88
158 3912.67
169 4179.72
181 4285.63
194 4366.21
208 4467.36
223 4779.42
239 5019.29
256 4843.51
275 5306.18
294 5138.07
315 5547.65
338 5386.93
362 5459.7
388 5577.37
416 5596.59
446 5692.92
477 5406.01
512 5855.68
548 5748.46
587 6121.07
629 5347.68
674 5661.01
723 6427.17
774 6098.39
830 6113.21
889 6159.87
953 5880.87
1021 4459.73
1094 3630.59
1172 3070.41
1256 2773
1346 2862.37
1442 2759.13
1545 2868.08
1656 2971.54
1774 2994
1901 3165.36
2037 3553.15
2183 3626.53
2339 3724.18
2506 3588.57
2685 3671.62
2877 3697.33
3083 3797.43
3303 3845.86
3540 3676.53
3793 3748.61
4064 3748.26
4355 3937.59
4666 3762.98
4999 3940.61
