1 370.612
2 741.224
3 1111.84
4 1482.45
5 1849.05
6 2217.95
7 2587.61
8 2957.27
9 3202.89
10 3158.31
11 3474.14
13 4105.8
15 4208.54
17 4769.68
20 5611.39
23 4465.82
26 5048.32
30 5550.2
35 5947.93
40 7071.42
46 6940.04
53 7449.38
61 7757.41
71 7820.26
81 8350.97
94 8700.87
108 9076.45
124 9271.12
143 9046.38
164 9621.46
189 9624.34
218 9773.28
251 9710.51
288 10166.6
332 10219.4
382 10261.6
439 10233.4
505 10371.4
581 10443.2
669 10017.4
770 9902.18
885 10234
1019 10143.6
1172 10402.3
1348 10487.5
1551 10345
1785 10258.7
2053 10586.9
2362 10549.6
2718 10501.8
3127 10620.9
3597 10706
4138 10632.9
4761 9196.51
5477 9255.17
6301 9239.68
7248 9229.68
8339 9219.71
9593 9314.93
11036 9242.61
12697 9227.47
14606 9206.37
16804 9243.55
19331 9336.41
22239 9318.7
25585 9325.76
29433 9283.72
33861 7969.52
38954 9168.21
44814 9185.37
51555 9043.61
59310 9063.82
68231 9051.8
78494 8894.27
90302 8906.33
103885 8786.92
119512 8893.52
137489 8582.02
158170 8736.89
181963 8701.61
209333 8708.56
240822 8855.79
277047 8555.91
318721 7416.16
366663 6801.71
421817 5409.02
485268 3420.27
558262 2397.57
642237 2621.71
738842 2213.37
849981 1593.46
977835 1799.85
1124923 1627.25
1294134 1635.08
1488801 1686.29
1712747 1627.61
1970382 1872.44
2266771 1936.37
2607739 1695.2
3000002 1695.81
