1 9.92595
2 69.6667
3 190.507
4 362.582
5 536.575
6 642.6
7 814.158
8 1215.3
9 1060.68
10 1154.43
10 1154.43
11 1321.56
12 1715.75
12 1715.75
13 1629.38
14 1711.19
15 1931.13
16 2343.67
17 2144.69
18 2192.7
20 2756.14
21 2699.55
22 2708.09
24 3478.74
25 3226.35
27 3121.82
29 3559.6
31 3535.85
33 4151.61
35 4044.8
37 4359.77
40 5210.63
42 4804
45 5064.48
48 5885.01
51 5380.96
55 5429.6
58 5979.95
62 6099.23
66 6618.45
71 6463.62
75 6982.57
80 7942.79
86 7353.12
91 7591.11
97 7600.22
104 6504.21
111 7907.94
118 8733.36
126 8922.04
134 9184.43
143 8423.05
152 9316.83
162 9967.56
173 10002.7
184 10591.4
196 9969.12
209 10538.5
223 10275.7
237 10731.8
253 10533
269 10553.5
287 10655.1
306 10836.7
326 10510.8
347 12012.7
370 12122.6
394 12170.9
420 12101.6
448 12455.3
477 12063.1
508 12280.3
541 12293
577 12420.9
615 12451.3
655 12513.3
698 12938.1
744 12983.5
792 13178.1
844 13089.5
899 13316.7
958 13457.9
1021 13918.2
1088 13819.5
1159 13776
1235 14190.1
1316 14309.5
1402 14383.8
1494 14485.6
1591 14553.3
1695 14354.4
1806 14597.5
1925 14546.7
2051 14336
2185 13899.2
2328 14492.2
2480 14654.1
2642 14279
2815 14008.8
3000 13761.5
