1 436.298
2 872.596
3 1308.89
4 1745.19
5 2181.37
6 2617.64
7 3053.91
8 3490.18
9 3920.23
10 4355.43
11 4790.97
13 5662.06
15 6506.77
17 7374.33
20 8675.69
23 6534.99
26 7164.5
30 7604.66
35 8078.82
40 11124.6
46 9474.66
53 10916.5
61 11269.5
71 10443.9
81 11961.9
94 11317.7
108 12792.6
124 12887.5
143 12134
164 10183.4
189 10578.9
218 10414.8
251 10816.8
288 11914.4
332 11747.9
382 11694.5
439 12019
505 12624.7
581 12852.7
669 12903.2
770 12839.6
885 13026.6
1019 12980.8
1172 13223.1
1348 13254
1551 13196.2
1785 13353.4
2053 12823.3
2362 13261.8
2718 13405.2
3127 13311.6
3597 13424.1
4138 12861
4761 11311.3
5477 11442.3
6301 11437.6
7248 11394.8
8339 11456.6
9593 11497.1
11036 11461.3
12697 11482.5
14606 11477.2
16804 11490.6
19331 11474.6
22239 11332.5
25585 11468.4
29433 11490.8
33861 11474.9
38954 11503.2
44814 11317.4
51555 11319.5
59310 10858.9
68231 11416.2
78494 11179.1
90302 11341.4
103885 11320.3
119512 11284.8
137489 11100.5
158170 10789.1
181963 10570.8
209333 10433.1
240822 10675.2
277047 10615.4
318721 9905.66
366663 9451.32
421817 6193.74
485268 4967.3
558262 5257.46
642237 3533.92
738842 2376.67
849981 2429.66
977835 2782.86
1124923 2287.98
1294134 2404.46
1488801 2444.75
1712747 2452.22
1970382 2821.09
2266771 2800.13
2607739 2769.01
3000002 2845.47
